test_date,county,new_positives,total_number_of_tests_performed
2023-08-22,Delaware,8,11
2023-08-22,Dutchess,27,105
2023-08-22,Erie,39,122
2023-08-22,Essex,0,18
2023-08-22,Finger Lakes,50,273
2023-08-22,Franklin,5,26
2023-08-22,Fulton,4,19
2023-08-22,Genesee,2,12
2023-08-22,Greene,3,10
2023-08-22,Hamilton,0,1
2023-08-22,Herkimer,1,14
2023-08-22,Jefferson,7,67
2023-08-22,Kings,198,1672
2023-08-22,Lewis,1,9
2023-08-22,Livingston,1,4
2023-08-22,Long Island,223,1536
2023-08-22,Madison,1,22
2023-08-22,Mid-Hudson,207,1403
2023-08-22,Mohawk Valley,32,210
2023-08-22,Monroe,31,178
2023-08-22,Montgomery,5,13
2023-08-22,Nassau,109,868
2023-08-22,New York,133,856
2023-08-22,New York City,722,5279
2023-08-22,Niagara,4,26
2023-08-22,North Country,28,239
2023-08-22,Oneida,14,151
2023-08-22,Onondaga,22,255
2023-08-22,Ontario,8,23
2023-08-22,Orange,37,279
2023-08-22,Orleans,0,4
2023-08-22,Oswego,16,97
2023-08-22,Otsego,7,12
2023-08-22,Putnam,8,60
2023-08-22,Queens,218,1398
2023-08-22,Rensselaer,9,39
2023-08-22,Richmond,44,226
2023-08-22,Rockland,13,168
2023-08-22,STATEWIDE,1466,10052
2023-08-22,Saratoga,15,85
2023-08-22,Schenectady,4,29
2023-08-22,Schoharie,1,1
2023-08-22,Schuyler,0,4
2023-08-22,Seneca,2,19
2023-08-22,Southern Tier,61,224
2023-08-22,St. Lawrence,13,80
2023-08-22,Steuben,14,41
2023-08-22,Suffolk,114,668
2023-08-22,Sullivan,6,47
2023-08-22,Tioga,3,9
2023-08-22,Tompkins,8,22
2023-08-22,Ulster,20,76
2023-08-22,Warren,8,33
2023-08-22,Washington,3,34
2023-08-22,Wayne,4,29
2023-08-22,Westchester,96,668
2023-08-22,Western New York,49,176
2023-08-22,Wyoming,2,4
2023-08-22,Yates,0,0
2023-08-21,Albany,7,71
2023-08-21,Allegany,1,1
2023-08-21,Bronx,80,600
2023-08-21,Broome,11,26
2023-08-21,Capital Region,29,229
2023-08-21,Cattaraugus,0,2
2023-08-21,Cayuga,4,19
2023-08-21,Central New York,29,328
2023-08-21,Chautauqua,8,22
2023-08-21,Chemung,2,23
2023-08-21,Chenango,4,53
2023-08-21,Clinton,0,15
2023-08-21,Columbia,0,1
2023-08-21,Cortland,1,11
2023-08-21,Delaware,9,14
2023-08-21,Dutchess,14,69
2023-08-21,Erie,35,91
2023-08-21,Essex,0,6
2023-08-21,Finger Lakes,38,194
2023-08-21,Franklin,1,6
2023-08-21,Fulton,0,8
2023-08-21,Genesee,0,7
2023-08-21,Greene,2,6
2023-08-21,Hamilton,0,0
2023-08-21,Herkimer,2,14
2023-08-21,Jefferson,7,47
2023-08-21,Kings,122,929
2023-08-21,Lewis,0,10
2023-08-21,Livingston,0,2
2023-08-21,Long Island,152,978
2023-08-21,Madison,5,34
2023-08-21,Mid-Hudson,144,889
2023-08-21,Mohawk Valley,15,141
2023-08-21,Monroe,22,121
2023-08-21,Montgomery,3,7
2023-08-21,Nassau,87,606
2023-08-21,New York,75,543
2023-08-21,New York City,437,3068
2023-08-21,Niagara,3,20
2023-08-21,North Country,14,130
2023-08-21,Oneida,7,104
2023-08-21,Onondaga,14,191
2023-08-21,Ontario,7,16
2023-08-21,Orange,29,156
2023-08-21,Orleans,2,4
2023-08-21,Oswego,5,73
2023-08-21,Otsego,3,7
2023-08-21,Putnam,3,30
2023-08-21,Queens,127,822
2023-08-21,Rensselaer,4,32
2023-08-21,Richmond,33,174
2023-08-21,Rockland,18,128
2023-08-21,STATEWIDE,943,6246
2023-08-21,Saratoga,4,59
2023-08-21,Schenectady,9,35
2023-08-21,Schoharie,0,1
2023-08-21,Schuyler,1,3
2023-08-21,Seneca,2,11
2023-08-21,Southern Tier,38,153
2023-08-21,St. Lawrence,6,46
2023-08-21,Steuben,7,18
2023-08-21,Suffolk,65,372
2023-08-21,Sullivan,5,24
2023-08-21,Tioga,3,4
2023-08-21,Tompkins,1,12
2023-08-21,Ulster,7,22
2023-08-21,Warren,3,18
2023-08-21,Washington,0,7
2023-08-21,Wayne,2,28
2023-08-21,Westchester,68,460
2023-08-21,Western New York,47,136
2023-08-21,Wyoming,1,3
2023-08-21,Yates,2,2
2023-08-20,Albany,5,53
2023-08-20,Allegany,0,0
2023-08-20,Bronx,82,535
2023-08-20,Broome,3,10
2023-08-20,Capital Region,17,166
2023-08-20,Cattaraugus,0,1
2023-08-20,Cayuga,1,14
2023-08-20,Central New York,20,251
2023-08-20,Chautauqua,2,13
2023-08-20,Chemung,3,20
2023-08-20,Chenango,1,3
2023-08-20,Clinton,0,17
2023-08-20,Columbia,0,5
2023-08-20,Cortland,3,13
2023-08-20,Delaware,4,7
2023-08-20,Dutchess,12,60
2023-08-20,Erie,11,40
2023-08-20,Essex,1,14
2023-08-20,Finger Lakes,19,160
2023-08-20,Franklin,0,8
2023-08-20,Fulton,0,4
2023-08-20,Genesee,3,15
2023-08-20,Greene,2,11
2023-08-20,Hamilton,0,0
2023-08-20,Herkimer,0,4
2023-08-20,Jefferson,2,29
2023-08-20,Kings,95,769
2023-08-20,Lewis,1,13
2023-08-20,Livingston,0,0
2023-08-20,Long Island,134,946
2023-08-20,Madison,2,16
2023-08-20,Mid-Hudson,116,796
2023-08-20,Mohawk Valley,13,60
2023-08-20,Monroe,11,95
2023-08-20,Montgomery,3,12
2023-08-20,Nassau,64,499
2023-08-20,New York,64,439
2023-08-20,New York City,393,2575
2023-08-20,Niagara,5,6
2023-08-20,North Country,11,116
2023-08-20,Oneida,7,35
2023-08-20,Onondaga,11,153
2023-08-20,Ontario,1,9
2023-08-20,Orange,26,129
2023-08-20,Orleans,1,3
2023-08-20,Oswego,3,55
2023-08-20,Otsego,2,3
2023-08-20,Putnam,5,39
2023-08-20,Queens,126,669
2023-08-20,Rensselaer,1,17
2023-08-20,Richmond,26,163
2023-08-20,Rockland,5,114
2023-08-20,STATEWIDE,767,5284
2023-08-20,Saratoga,5,49
2023-08-20,Schenectady,4,13
2023-08-20,Schoharie,1,2
2023-08-20,Schuyler,1,2
2023-08-20,Seneca,2,17
2023-08-20,Southern Tier,26,154
2023-08-20,St. Lawrence,7,35
2023-08-20,Steuben,14,105
2023-08-20,Suffolk,70,447
2023-08-20,Sullivan,5,15
2023-08-20,Tioga,0,2
2023-08-20,Tompkins,0,5
2023-08-20,Ulster,9,45
2023-08-20,Warren,0,11
2023-08-20,Washington,0,7
2023-08-20,Wayne,1,15
2023-08-20,Westchester,54,394
2023-08-20,Western New York,18,60
